ID,foulGiven,foulCommitted
1119,0.0,0.0
1120,7.0,3.0
1121,3.0,2.0
1122,8.0,3.0
1123,22.0,18.0
1124,2.0,0.0
1125,5.0,13.0
1126,2.0,2.0
1127,11.0,9.0
1128,25.0,17.0
1129,31.0,28.0
1130,18.0,1.0
1131,5.0,6.0
1132,22.0,13.0
1133,40.0,23.0
1134,19.0,24.0
1135,35.0,5.0
1136,1.0,2.0
1137,19.0,11.0
1138,2.0,1.0
1139,2.0,4.0
1140,3.0,1.0
1141,29.0,27.0
1142,30.0,27.0
1143,8.0,8.0
1144,3.0,1.0
1145,12.0,35.0
1146,11.0,17.0
1147,39.0,33.0
1148,53.0,44.0
1149,8.0,7.0
1150,7.0,5.0
1151,8.0,8.0
1152,11.0,2.0
1153,7.0,19.0
1154,4.0,9.0
1155,3.0,7.0
1156,17.0,7.0
1157,4.0,9.0
1158,42.0,23.0
1159,2.0,2.0
1160,13.0,7.0
1161,6.0,4.0
1162,10.0,7.0
1163,8.0,3.0
1164,18.0,18.0
1165,3.0,5.0
1166,27.0,27.0
1167,12.0,16.0
1168,12.0,11.0
1169,1.0,2.0
1170,6.0,2.0
1171,21.0,17.0
1172,0.0,1.0
1173,4.0,1.0
1174,4.0,5.0
1175,6.0,1.0
1176,1.0,1.0
1177,0.0,1.0
1178,11.0,11.0
1179,1.0,2.0
1180,16.0,18.0
1181,11.0,12.0
1182,1.0,0.0
1183,4.0,4.0
1184,12.0,17.0
1185,17.0,34.0
1186,2.0,0.0
1187,6.0,11.0
1188,5.0,8.0
1189,1.0,0.0
1190,4.0,6.0
1191,10.0,7.0
1192,0.0,2.0
1193,0.0,0.0
1194,12.0,14.0
1195,0.0,1.0
1196,4.0,15.0
1197,2.0,0.0
1198,2.0,1.0
1199,0.0,0.0
1200,2.0,2.0
1201,4.0,4.0
1202,4.0,4.0
1203,0.0,1.0
1204,2.0,5.0
1205,0.0,2.0
1206,1.0,0.0
1207,0.0,0.0
1208,0.0,1.0
1209,1.0,2.0
1210,0.0,2.0
1211,1.0,2.0
1212,0.0,3.0
1213,0.0,1.0
1214,43.0,32.0
1215,3.0,3.0
1216,1.0,0.0
1217,10.0,4.0
1218,6.0,6.0
1219,9.0,6.0
1220,2.0,1.0
1221,24.0,13.0
1222,1.0,0.0
1223,16.0,10.0
1224,0.0,0.0
1225,21.0,18.0
1226,3.0,3.0
1227,2.0,2.0
1228,7.0,9.0
1229,25.0,23.0
1230,4.0,3.0
1231,21.0,18.0
1232,8.0,2.0
1233,18.0,11.0
1234,3.0,1.0
1235,11.0,13.0
1236,28.0,22.0
1237,1.0,1.0
1238,0.0,3.0
1239,3.0,1.0
1240,14.0,9.0
1241,2.0,0.0
1242,14.0,15.0
1243,16.0,5.0
1244,10.0,18.0
1245,22.0,24.0
1246,41.0,45.0
1247,39.0,61.0
1248,8.0,6.0
1249,62.0,52.0
1250,50.0,26.0
1251,28.0,15.0
1252,18.0,13.0
1253,47.0,36.0
1254,20.0,20.0
1255,14.0,12.0
1256,7.0,11.0
1257,2.0,2.0
1258,13.0,9.0
1259,2.0,1.0
1260,2.0,0.0
1261,6.0,4.0
1262,7.0,3.0
1263,11.0,13.0
1264,6.0,15.0
1265,3.0,14.0
1266,31.0,22.0
1267,19.0,10.0
1268,16.0,15.0
1269,27.0,15.0
1270,6.0,12.0
1271,3.0,0.0
1272,2.0,2.0
1273,6.0,3.0
1274,11.0,8.0
1275,1.0,0.0
1276,13.0,16.0
1277,17.0,13.0
1278,1.0,4.0
1279,10.0,19.0
1280,22.0,13.0
1281,9.0,4.0
1282,6.0,9.0
1283,18.0,23.0
1284,23.0,33.0
1285,4.0,6.0
1286,11.0,13.0
1287,1.0,3.0
1288,16.0,14.0
1289,6.0,9.0
1290,0.0,0.0
1291,2.0,4.0
1292,14.0,19.0
1293,1.0,5.0
1294,7.0,5.0
1295,11.0,15.0
1296,7.0,9.0
1297,3.0,4.0
1298,7.0,13.0
1299,0.0,1.0
1300,0.0,6.0
1301,1.0,0.0
1302,0.0,0.0
1303,2.0,2.0
1304,1.0,2.0
1305,1.0,0.0
1306,4.0,9.0
1307,2.0,0.0
